timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1684716906708,22,Login usuario que existe,200,OK,CP002a 1-1,text,true,,6645,750,4,4,http://localhost:8080/twitter-clone/index.php,17,1,0,0,1
1684716906708,17,Login usuario que existe-0,302,Found,CP002a 1-1,text,true,,447,608,4,4,http://localhost:8080/twitter-clone/handle/handlelogin.php,17,1,0,0,1
1684716906725,5,Login usuario que existe-1,200,OK,CP002a 1-1,text,true,,6198,142,4,4,http://localhost:8080/twitter-clone/index.php,5,1,0,0,0
1684716906711,19,Login usuario que existe,200,OK,CP002a 1-2,text,true,,6645,775,4,4,http://localhost:8080/twitter-clone/index.php,14,1,0,0,1
1684716906711,14,Login usuario que existe-0,302,Found,CP002a 1-2,text,true,,447,633,4,4,http://localhost:8080/twitter-clone/handle/handlelogin.php,14,1,0,0,1
1684716906725,5,Login usuario que existe-1,200,OK,CP002a 1-2,text,true,,6198,142,4,4,http://localhost:8080/twitter-clone/index.php,5,1,0,0,0
1684716906727,17,Login usuario que existe,200,OK,CP002a 1-3,text,true,,6645,740,3,3,http://localhost:8080/twitter-clone/index.php,12,1,0,0,1
1684716906727,17,Login usuario que existe,200,OK,CP002a 1-4,text,true,,6645,770,3,3,http://localhost:8080/twitter-clone/index.php,12,1,0,0,1
1684716906727,12,Login usuario que existe-0,302,Found,CP002a 1-3,text,true,,447,598,3,3,http://localhost:8080/twitter-clone/handle/handlelogin.php,12,1,0,0,1
1684716906727,12,Login usuario que existe-0,302,Found,CP002a 1-4,text,true,,447,628,3,3,http://localhost:8080/twitter-clone/handle/handlelogin.php,12,1,0,0,1
1684716906739,5,Login usuario que existe-1,200,OK,CP002a 1-3,text,true,,6198,142,3,3,http://localhost:8080/twitter-clone/index.php,5,1,0,0,0
1684716906739,5,Login usuario que existe-1,200,OK,CP002a 1-4,text,true,,6198,142,3,3,http://localhost:8080/twitter-clone/index.php,5,1,0,0,0
1684716906743,10,Login usuario que existe,200,OK,CP002a 1-5,text,true,,6645,730,1,1,http://localhost:8080/twitter-clone/index.php,6,1,0,0,1
1684716906743,6,Login usuario que existe-0,302,Found,CP002a 1-5,text,true,,447,588,1,1,http://localhost:8080/twitter-clone/handle/handlelogin.php,6,1,0,0,1
1684716906749,4,Login usuario que existe-1,200,OK,CP002a 1-5,text,true,,6198,142,1,1,http://localhost:8080/twitter-clone/index.php,4,1,0,0,0
1684716906759,10,Login usuario que existe,200,OK,CP002a 1-7,text,true,,6645,775,2,2,http://localhost:8080/twitter-clone/index.php,7,1,0,0,1
1684716906759,10,Login usuario que existe,200,OK,CP002a 1-6,text,true,,6645,770,2,2,http://localhost:8080/twitter-clone/index.php,6,1,0,0,1
1684716906759,7,Login usuario que existe-0,302,Found,CP002a 1-7,text,true,,447,633,2,2,http://localhost:8080/twitter-clone/handle/handlelogin.php,7,1,0,0,1
1684716906759,6,Login usuario que existe-0,302,Found,CP002a 1-6,text,true,,447,628,2,2,http://localhost:8080/twitter-clone/handle/handlelogin.php,6,1,0,0,1
