"(PDH-CSV 4.0)","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes enviados/s","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes recibidos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\% de tiempo de procesador","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\% de tiempo de procesador"
"05/22/2023 10:44:45.720","49152"," "," ","151967.76813969999785","21909504","13025280"," "," ","151967.70867069999804","47558656"," "," "," "," "
"05/22/2023 10:44:46.729","49152","0","0","151968.76423999998951","21909504","13025280","0","0","151968.70477099998971","47558656","0","0","0","0"
"05/22/2023 10:44:47.719","49152","0","0","151969.75449749999098","21909504","13025280","0","0","151969.69502849999117","47558656","0","0","0","0"
"05/22/2023 10:44:48.720","49152","0","0","151970.75498609998613","21909504","13025280","0","0","151970.69551709998632","47558656","54.967256005597462831","53.96785135095023378","0","0"
"05/22/2023 10:44:49.724","49152","0","0","151971.75930569999036","21909504","13025280","0","0","151971.69983669999056","47558656","0","0","0","0"
"05/22/2023 10:44:50.730","49152","0","0","151972.76468409999507","21909504","13025280","0","0","151972.70521509999526","47558656","0","0","0","0"
"05/22/2023 10:44:51.733","49152","0","0","151973.76773819999653","21909504","13025280","0","0","151973.70826919999672","47558656","127.62398146341433858","145.57110385670696928","0","0"
"05/22/2023 10:44:52.727","49152","0","0","151974.76212920001126","21909504","13025280","0","0","151974.70266020001145","47558656","3156.6469189356175775","8647.3421012830131076","0","0"
"05/22/2023 10:44:53.722","49152","0","0","151975.75710610000533","21909504","13025280","0","0","151975.69763710000552","47558656","21315.507194800258731","88092.170146571370424","0","0"
"05/22/2023 10:44:54.730","49152","0","0","151976.76565280000796","21909504","12177408","16.855392530859990785","783.28000584584663102","151976.70618380000815","47558656","6590.4584795662567558","19115.998117351802648","0","1.5492589485444749897"
"05/22/2023 10:44:55.723","49152","0","0","151977.75846380001167","21909504","13242368","2.0146083279073216943","334.42498243261536572","151977.69899480001186","47558656","10848.665845780926247","130589.93372744444059","0","0"
"05/22/2023 10:44:56.723","49152","0","0","151978.75838929999736","21909504","13377536","5.0003295217154803964","4.0002636173723846724","151978.69892029999755","47558656","279.01838731172381358","355.02339604179911703","0","0"
"05/22/2023 10:44:57.735","49152","0","0","151979.7703068999981","21909504","13377536","1.9759503135437956889","1.9759503135437956889","151979.7108378999983","47558656","0","0","0","0"
"05/22/2023 10:44:58.724","49152","0","0","151980.75945909999427","21909504","14123008","23.257953967453019573","770.54612709561740758","151980.69999009999447","47558656","6179.5372476132788506","12465.252111164929374","0","1.579635570744320372"
"05/22/2023 10:44:59.725","49152","0","0","151981.7596760999877","21909504","9031680","7.9984986817974270679","771.85512279345175557","151981.70020709998789","47558656","4779.102962373963237","21630.939872585917328","0","1.5621610110605996802"
